time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
2359296,716,3292,1.0,1,-1.0,-0.03894991911195878,0.0003,0.104846686,0.17186230421066284,0.0125214897794649,1.7040147268517399e-06,950,0.2,0.41966145833333335,-1.4324936834163964,0.37801477313041687,-0.043753087520599365
2383872,719,3311,1.0,1,-1.0,-0.043266378561384045,0.0003,0.035520468,0.5558143556118011,0.01303141945041716,1.7362852681039135e-06,960,0.2,0.38972574869791665,-1.4194717208854855,0.3757559657096863,-0.06286045908927917
2408448,708,3397,1.0,1,-1.0,-0.033716128106364825,0.0003,0.23281477,0.06544756889343262,0.013301067417487503,1.9289914149493254e-06,970,0.2,0.4413655598958333,-1.4056452279289564,0.37410229444503784,-0.05629444867372513
2433024,716,3396,1.0,1,-1.0,-0.02762912168436742,0.0003,0.022982344,0.546472430229187,0.01363552370108664,1.2131537542731108e-06,980,0.2,0.32722574869791665,-1.376726188355436,0.3710747957229614,-0.04540001600980759
2457600,709,3463,1.0,1,-1.0,-0.04169332675774058,0.0003,1.2062082,0.6591956317424774,0.013536859136074782,2.049801752139017e-06,990,0.2,0.5461832682291666,-1.3371007501458128,0.36326682567596436,-0.052420493215322495
2482176,709,3496,1.0,1,-1.0,-0.028079341063130415,0.0003,0.032859903,0.3630734086036682,0.014383129747584463,1.495833097725959e-06,1000,0.2,0.39748942057291664,-1.2660620978102088,0.3583477735519409,-0.02215929888188839
2506752,709,3531,1.0,1,-1.0,-0.04117477488932006,0.0003,0.06363272,0.6732174754142761,0.01408796505536884,4.783900133557839e-06,1010,0.2,0.4750447591145833,-1.2098550932792327,0.35195308923721313,-0.0596117228269577
2531328,717,3526,1.0,1,-1.0,-0.04211872935605546,0.0003,0.03751229,0.7522870600223541,0.014309307420626282,1.6911661860648704e-06,1020,0.2,0.40599365234375,-1.139715405491491,0.34563517570495605,-0.035109974443912506
2555904,707,3613,1.0,1,-1.0,-0.03639479112947205,0.0003,0.030043354,0.7638884335756302,0.013890330395661295,2.9740773594808904e-06,1030,0.2,0.37088216145833336,-1.082940644522508,0.3386654555797577,-0.03878059983253479
2580480,710,3631,1.0,1,-1.0,-0.027235766644783627,0.0003,0.033423837,0.6795251071453094,0.013862528610043228,9.59359150892273e-07,1040,0.2,0.35841064453125,-1.0004832042070726,0.3304012715816498,-0.02076955884695053
2605056,705,3694,1.0,1,-1.0,-0.02204009426034948,0.0003,0.019443797,0.6617045998573303,0.013544492851942778,3.1797666190117036e-06,1050,0.2,0.2714152018229167,-0.9353232223385324,0.32464537024497986,0.005149991251528263
2629632,711,3693,1.0,1,-1.0,-0.01518727066043842,0.0003,0.018680772,0.5266358554363251,0.013313209828920662,8.123332954602473e-07,1060,0.2,0.26394856770833336,-0.8755050571635365,0.31854209303855896,-0.04067983850836754
2654208,709,3740,1.0,1,-1.0,-0.017184348552351972,0.0003,0.021104624,0.6234311759471893,0.012999785230495036,1.8928549667886671e-06,1070,0.2,0.28153076171875,-0.7991264949863156,0.31096190214157104,0.004403361119329929
2678784,707,3786,1.0,1,-1.0,-0.015533126868710194,0.0003,0.018657224,0.6750554442405701,0.012794883833266794,1.5336119418405773e-06,1080,0.2,0.2511189778645833,-0.7251312711741775,0.30446258187294006,-0.046674031764268875
2703360,709,3807,1.0,1,-1.0,-0.0009617160346048573,0.0003,0.011031799,-0.8239079713821411,0.01243870644364506,8.319087535628896e-07,1090,0.2,0.15120442708333334,-0.6791971202939748,0.300162672996521,0.023347822949290276
